2026-05-20 16:37:48 | INFO | app.api.routes | [WS] Client disconnected
2026-05-20 16:38:01 | INFO | watchfiles.main | 1 change detected
2026-05-20 16:38:01 | INFO | app.api.routes | [WS] Client disconnected
2026-05-20 16:38:02 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:38:06 | INFO | watchfiles.main | 1 change detected
2026-05-20 16:38:07 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:38:11 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:38:31 | INFO | watchfiles.main | 4 changes detected
2026-05-20 16:38:34 | INFO | app.api.routes | [WS] Question: hi
2026-05-20 16:38:39 | INFO | app.api.routes | [WS] Streamed 93 tokens
2026-05-20 16:38:39 | INFO | app.api.routes | [WS] Full response: Hello! I'd be happy to help you with anything related to your Best of Vietnam tour. You're currently back in Hanoi after a long trip, and you have some free time this afternoon. Would you like some recommendations on how to spend your time, such as visiting the Old Quarter, trying some local bia hoi, or exploring one of the city's many museums? Or perhaps you'd like to book an optional farewell dinner with your group leader?...
2026-05-20 16:38:39 | INFO | app.api.routes | [WS] Done signal sent
2026-05-20 16:39:39 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:39:39 | INFO | app.api.routes | [WS] Client disconnected
2026-05-20 16:39:39 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:39:40 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:39:44 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:40:02 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:40:02 | INFO | watchfiles.main | 1 change detected
2026-05-20 16:40:03 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:40:08 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:40:12 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:40:12 | INFO | watchfiles.main | 4 changes detected
2026-05-20 16:40:16 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:41:20 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:41:40 | INFO | watchfiles.main | 4 changes detected
2026-05-20 16:41:51 | INFO | app.api.routes | [WS] Client disconnected
2026-05-20 16:41:54 | INFO | app.api.routes | [WS] Question: What tours do you have in Vietnam?
2026-05-20 16:42:06 | INFO | app.api.routes | [WS] Done — 254 tokens sent
2026-05-20 16:45:44 | INFO | watchfiles.main | 1 change detected
2026-05-20 16:45:44 | INFO | app.api.routes | [WS] Client disconnected
2026-05-20 16:45:45 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:45:46 | INFO | watchfiles.main | 1 change detected
2026-05-20 16:45:46 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:45:48 | INFO | watchfiles.main | 1 change detected
2026-05-20 16:45:48 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:51:46 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:52:06 | INFO | watchfiles.main | 4 changes detected
2026-05-20 16:52:13 | INFO | app.api.routes | [WS] Client disconnected
2026-05-20 16:52:17 | INFO | app.api.routes | [WS] Question: hi
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] token: Hello
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] content: Hello
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] token: !
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] content: !
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] token:  I
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] content:  I
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] token: 'd
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] content: 'd
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] token:  be
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] content:  be
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] token:  happy
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] content:  happy
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] token:  to
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] content:  to
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] token:  help
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] content:  help
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] token:  you
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] content:  you
2026-05-20 16:52:24 | INFO | app.api.routes | [WS] token:  with
